source,target,distance
Genetics & Cell Biology,Electronic & Computer Engineering,1.33
Genetics & Cell Biology,Mechanical Engineering,1.33
Genetics & Cell Biology,Nursing,0.67
Genetics & Cell Biology,Psychology,1.56
Genetics & Cell Biology,Social Science,1.4500000000000002
Journalism,Accounting,1.4500000000000002
Journalism,Actuarial Maths,1.78
Journalism,Business,0.89
Journalism,Computing for Business,1.56
Journalism,"Economics, Politics & Law",1.56
Journalism,Nursing,1.56
Journalism,Psychology,1.56
Journalism,Social Science,0.78
Mechanical Engineering,Biotechnology,0.89
Mechanical Engineering,Chemistry,1.33
Mechanical Engineering,Computer Science,1.11
Mechanical Engineering,Computing for Business,1.55
Mechanical Engineering,Data Science,1.7800000000000002
Mechanical Engineering,Electronic & Computer Engineering,0.22
Mechanical Engineering,Genetics & Cell Biology,1.33
Mechanical Engineering,Nursing,1.67
Nursing,Applied Physics,1.78
Nursing,Biotechnology,0.78
Nursing,Chemistry,0.89
Nursing,Electronic & Computer Engineering,1.67
Nursing,Genetics & Cell Biology,0.67
Nursing,Journalism,1.56
Nursing,Mechanical Engineering,1.67
Nursing,Psychology,0.89
Nursing,Social Science,0.78
Physical Education and Maths,Accounting,1.78
Physical Education and Maths,Actuarial Maths,0.89
Physical Education and Maths,Applied Physics,0.78
Physical Education and Maths,Business,1.78
Physical Education and Maths,Chemistry,1.67
Physical Education and Maths,Data Science,1.56
Physical Education and Maths,Primary Education,0.56
Primary Education,Actuarial Maths,1.4500000000000002
Primary Education,Applied Physics,1.34
Primary Education,Physical Education and Maths,0.56
Psychology,Biotechnology,1.67
Psychology,Chemistry,1.78
Psychology,Genetics & Cell Biology,1.56
Psychology,Journalism,1.56
Psychology,Nursing,0.89
Psychology,Social Science,0.78
Social Science,Biotechnology,1.56
Social Science,Business,1.67
Social Science,Chemistry,1.67
Social Science,Genetics & Cell Biology,1.4500000000000002
Social Science,Journalism,0.78
Social Science,Nursing,0.78
Social Science,Psychology,0.78
