source,target,distance
Computing for Business,Electronic & Computer Engineering,1.33
Computing for Business,Journalism,1.56
Computing for Business,Mechanical Engineering,1.55
Computing for Business,Physical Education and Maths,2.2300000000000004
Computing for Business,Social Science,2.34
Data Science,Accounting,1.67
Data Science,Actuarial Maths,0.78
Data Science,Applied Physics,0.78
Data Science,Biotechnology,2.11
Data Science,Business,1.34
Data Science,Chemistry,1.67
Data Science,Computer Science,0.67
Data Science,Computing for Business,0.67
Data Science,"Economics, Politics & Law",2.0100000000000002
Data Science,Electronic & Computer Engineering,1.56
Data Science,Genetics & Cell Biology,2.23
Data Science,Journalism,2.23
Data Science,Mechanical Engineering,1.78
Data Science,Physical Education and Maths,1.56
Data Science,Primary Education,2.12
"Economics, Politics & Law",Accounting,0.89
"Economics, Politics & Law",Actuarial Maths,1.56
"Economics, Politics & Law",Applied Physics,2.23
"Economics, Politics & Law",Business,0.67
"Economics, Politics & Law",Computer Science,1.78
"Economics, Politics & Law",Computing for Business,1.34
"Economics, Politics & Law",Data Science,2.0100000000000002
"Economics, Politics & Law",Journalism,1.56
"Economics, Politics & Law",Physical Education and Maths,2.45
"Economics, Politics & Law",Social Science,2.34
Electronic & Computer Engineering,Actuarial Maths,2.34
Electronic & Computer Engineering,Applied Physics,2.22
Electronic & Computer Engineering,Biotechnology,0.89
Electronic & Computer Engineering,Business,2.0
Electronic & Computer Engineering,Chemistry,1.33
Electronic & Computer Engineering,Computer Science,0.89
Electronic & Computer Engineering,Computing for Business,1.33
Electronic & Computer Engineering,Data Science,1.56
Electronic & Computer Engineering,Genetics & Cell Biology,1.33
Electronic & Computer Engineering,Mechanical Engineering,0.22
Electronic & Computer Engineering,Nursing,1.67
Electronic & Computer Engineering,Social Science,2.45
Genetics & Cell Biology,Actuarial Maths,2.12
Genetics & Cell Biology,Applied Physics,1.4500000000000002
Genetics & Cell Biology,Biotechnology,0.44
Genetics & Cell Biology,Chemistry,0.56
Genetics & Cell Biology,Computer Science,2.22
Genetics & Cell Biology,Data Science,2.2300000000000004
Genetics & Cell Biology,Electronic & Computer Engineering,1.33
Genetics & Cell Biology,Journalism,2.2300000000000004
Genetics & Cell Biology,Mechanical Engineering,1.33
Genetics & Cell Biology,Nursing,0.67
Genetics & Cell Biology,Physical Education and Maths,2.2300000000000004
Genetics & Cell Biology,Psychology,1.56
Genetics & Cell Biology,Social Science,1.4500000000000002
Journalism,Accounting,1.4500000000000002
Journalism,Actuarial Maths,1.78
Journalism,Applied Physics,2.45
Journalism,Biotechnology,2.34
Journalism,Business,0.89
Journalism,Chemistry,2.45
Journalism,Computer Science,2.0
Journalism,Computing for Business,1.56
Journalism,Data Science,2.23
Journalism,"Economics, Politics & Law",1.56
Journalism,Genetics & Cell Biology,2.23
Journalism,Nursing,1.56
Journalism,Psychology,1.56
Journalism,Social Science,0.78
Mechanical Engineering,Applied Physics,2.22
Mechanical Engineering,Biotechnology,0.89
Mechanical Engineering,Business,2.22
Mechanical Engineering,Chemistry,1.33
Mechanical Engineering,Computer Science,1.11
Mechanical Engineering,Computing for Business,1.55
Mechanical Engineering,Data Science,1.7800000000000002
Mechanical Engineering,Electronic & Computer Engineering,0.22
Mechanical Engineering,Genetics & Cell Biology,1.33
Mechanical Engineering,Nursing,1.67
Mechanical Engineering,Social Science,2.45
Nursing,Actuarial Maths,2.45
Nursing,Applied Physics,1.78
Nursing,Biotechnology,0.78
Nursing,Business,2.45
Nursing,Chemistry,0.89
Nursing,Electronic & Computer Engineering,1.67
Nursing,Genetics & Cell Biology,0.67
Nursing,Journalism,1.56
Nursing,Mechanical Engineering,1.67
Nursing,Psychology,0.89
Nursing,Social Science,0.78
Physical Education and Maths,Accounting,1.78
Physical Education and Maths,Actuarial Maths,0.89
Physical Education and Maths,Applied Physics,0.78
Physical Education and Maths,Biotechnology,2.11
Physical Education and Maths,Business,1.78
Physical Education and Maths,Chemistry,1.67
Physical Education and Maths,Computer Science,2.23
Physical Education and Maths,Computing for Business,2.23
Physical Education and Maths,Data Science,1.56
Physical Education and Maths,"Economics, Politics & Law",2.45
Physical Education and Maths,Genetics & Cell Biology,2.23
Physical Education and Maths,Primary Education,0.56
Primary Education,Accounting,2.3400000000000003
Primary Education,Actuarial Maths,1.4500000000000002
Primary Education,Applied Physics,1.34
Primary Education,Business,2.3400000000000003
Primary Education,Chemistry,2.23
Primary Education,Data Science,2.12
Primary Education,Physical Education and Maths,0.56
Psychology,Biotechnology,1.67
Psychology,Business,2.45
Psychology,Chemistry,1.78
Psychology,Genetics & Cell Biology,1.56
Psychology,Journalism,1.56
Psychology,Nursing,0.89
Psychology,Social Science,0.78
Social Science,Accounting,2.23
Social Science,Biotechnology,1.56
Social Science,Business,1.67
Social Science,Chemistry,1.67
Social Science,Computing for Business,2.34
Social Science,"Economics, Politics & Law",2.34
Social Science,Electronic & Computer Engineering,2.45
Social Science,Genetics & Cell Biology,1.4500000000000002
Social Science,Journalism,0.78
Social Science,Mechanical Engineering,2.45
Social Science,Nursing,0.78
Social Science,Psychology,0.78
